  0       0       100         0
  0     100       100       100
  0       0         0       100
100       0       100       100
 20      20        40        20
 20      40        40        40
 20      20        20        40
 40      20        40        40
 60      20        80        20
 60      40        80        40
 60      20        60        40
 80      20        80        40
 20      60        40        60
 20      80        40        80
 20      60        20        80
 40      60        40        80
 60      60        80        60
 60      80        80        80
 60      60        60        80
 80      60        80        80
